area,tech,bus,gen,lat,lng,dist_km,capacity,capacity_factor,cost_poi_usd_per_mw,cost_reinforcement_usd_per_mw,cost_spur_usd_per_km_mw,same_area,system_capacity
2.0,wind,bus_102,wind_13355,35.602189786706894,-114.66016122885715,261.0258797695069,258.0,46.71920613088312,35000.0,318633.25,4238.3168759567225,0,3370.0
2.0,wind,bus_102,wind_13719,35.602189786706894,-113.696248436,249.8611067305768,270.0,49.6009464184887,15000.0,369154.3,5210.298750561249,0,3370.0
2.0,wind,bus_102,wind_13723,35.602189786706894,-113.34573469314286,253.4286188316991,282.0,46.93785294623239,35000.0,342503.72,4586.018234119997,0,3370.0
2.0,wind,bus_102,wind_14115,35.645059860524135,-113.60862000028573,255.1233520968325,102.0,44.604152879739,35000.0,319696.4,5301.523045267489,0,3370.0
1.0,solar,bus_102,solar_1180,33.609768440889475,-113.9774181261579,31.354656978565203,119.51,20.66093307534744,35000.0,415575.4,10881.386489607035,1,540.0
1.0,solar,bus_102,solar_1938,33.70863148776316,-115.91018336026316,197.08389985816612,413.56,21.006451738438415,35000.0,136194.78,5589.921430933224,1,540.0
1.0,solar,bus_102,solar_2696,33.70863148776316,-114.5296367644737,76.00758722872435,975.34,20.23556579392014,15000.0,326046.84,5842.262500000001,1,540.0
3.0,solar,bus_102,solar_3481,35.31340266021852,-117.54001038092592,404.411139637956,235.46,20.98557988500825,15000.0,1450488.9,9015.091456745968,0,540.0
3.0,solar,bus_102,solar_3865,35.399983877055554,-117.89215974462962,436.7712770410928,555.68,20.956046218629005,15000.0,748010.2,8326.904253604604,0,540.0
1.0,solar,bus_102,solar_4974,33.90635758151053,-114.39158210489474,80.40346939423209,725.49,20.566563256377396,15000.0,151662.47,5015.97306034038,1,540.0
3.0,solar,bus_102,solar_5002,35.57314631072963,-117.75129999914815,436.0447079263887,321.51,20.805657171461945,15000.0,610527.6,14019.768686868687,0,540.0
2.0,solar,bus_102,solar_6866,35.773670081975865,-113.082849386,277.12568828336,1975.87,20.3644778352278,15000.0,163287.61,3303.7093581362155,0,540.0
2.0,solar,bus_102,solar_6870,35.816540155793106,-115.27356027885715,303.82444827861167,511.49,20.3885561933549,15000.0,191078.33,4340.889018140537,0,540.0
1.0,solar,bus_102,solar_6877,34.20294672213158,-114.39158210489474,107.54984905033751,243.36,20.323107440582152,35000.0,248843.27,14732.03952695499,1,540.0
1.0,solar,bus_102,solar_7637,34.40067281587895,-116.0482380198421,235.65647577322449,115.64,20.97164538263398,15000.0,329703.16,8637.77394621809,1,540.0
1.0,solar,bus_102,solar_8402,34.59839890962632,-116.18629267942106,257.6752288161525,800.57,20.779362880359272,35000.0,309062.75,5348.813514564577,1,540.0
1.0,solar,bus_102,solar_8406,34.59839890962632,-115.63407404110526,216.39725377104264,381.67,20.52282248996236,35000.0,307217.75,13701.886610865902,1,540.0
3.0,solar,bus_102,solar_8422,36.00605239491482,-118.878177963,547.7219973202931,1534.09,18.4643785313685,15000.0,147581.83,4738.016111105843,0,540.0
1.0,solar,bus_102,solar_8772,34.59839890962632,-115.21991006236843,188.5559555785607,1262.43,20.827260532201606,15000.0,285082.16,4698.472227915261,1,540.0
3.0,solar,bus_102,solar_8801,36.00605239491482,-118.0330194901111,484.37744087280913,1920.94,21.38626932296118,15000.0,166064.89,3150.371663040237,0,540.0
1.0,solar,bus_102,solar_9164,34.6972619565,-115.91018336026316,243.0528859708826,1370.69,20.80076673898595,15000.0,228099.69,4582.887685702328,1,540.0
3.0,solar,bus_102,solar_9554,36.09263361175185,-118.73731821751852,542.0525230083541,2675.24,19.246807189138497,35000.0,439531.4,4826.783703703703,0,540.0
2.0,solar,bus_102,solar_10302,35.94515037724483,-113.95913374314286,287.9715149903861,774.09,20.206921077184717,35000.0,88726.28,5257.520563974944,0,540.0
3.0,solar,bus_102,solar_11083,36.26579604542593,-118.1738792355926,511.88265591003784,562.63,21.704051587967797,15000.0,407670.75,4334.185178850601,0,540.0
2.0,solar,bus_102,solar_11821,36.07376059869655,-115.36118871457143,333.0077238215318,1895.69,20.33245961018209,35000.0,267489.94,4568.217359904856,0,540.0
3.0,solar,bus_102,solar_11837,36.35237726226296,-118.5260285992963,542.8415990032223,3199.82,21.280843517492393,35000.0,657265.94,3555.5323979640634,0,540.0
2.0,solar,bus_102,solar_12188,36.07376059869655,-114.48490435742858,307.9591468286154,1034.83,19.649696670386444,35000.0,345709.78,6176.704732336498,0,540.0
3.0,solar,bus_102,solar_12223,36.35237726226296,-117.3287207627037,461.49080026375606,616.44,19.899699049838656,15000.0,431066.34,4162.50411039619,0,540.0
2.0,solar,bus_102,solar_12568,36.11663067251379,-114.74778966457143,318.1309348857405,907.88,19.391389919897858,35000.0,404530.84,7771.421293493865,0,540.0
3.0,solar,bus_102,solar_12591,36.35237726226296,-117.11743114448147,448.364044858634,1283.28,20.986785155739607,35000.0,243376.78,5059.439440354808,0,540.0
2.0,solar,bus_102,solar_12954,36.159500746331034,-114.13439061457143,312.81954707972034,216.79,19.79746766913336,35000.0,467371.66,9295.096465069715,0,540.0
2.0,solar,bus_102,solar_12977,36.202370820148275,-114.923046536,331.7982979132508,422.82,19.98129969611502,35000.0,365625.44,4648.62371364967,0,540.0
2.0,solar,bus_102,solar_13734,36.28811096778276,-115.01067497171428,343.31744016713265,1435.71,20.022836093802365,35000.0,275067.38,4670.662091503268,0,540.0
2.0,solar,bus_102,solar_14502,36.3309810416,-114.923046536,345.43540585819073,1274.09,19.972700974607537,35000.0,392252.53,3317.1199651070892,0,540.0
1.0,wind,bus_103,wind_3840,32.91772711277368,-115.08185540278947,78.76433132485893,78.0,29.86654403472681,35000.0,257014.03,13494.356293888508,1,3370.0
1.0,wind,bus_103,wind_3841,32.91772711277368,-114.94380074321053,73.38823220298595,66.0,32.903536507098664,35000.0,317563.62,13922.127475281783,1,3370.0
3.0,wind,bus_103,wind_3867,34.18784684133704,-116.976571399,224.89936877826912,66.0,22.15517101019571,15000.0,550612.56,10357.109068159081,0,3370.0
3.0,wind,bus_103,wind_4614,34.274428058174074,-117.04700127174074,234.1549414862527,228.0,45.46469677479659,15000.0,542013.2,9597.691972840154,0,3370.0
3.0,wind,bus_103,wind_4625,34.361009275011114,-118.24430910833333,342.13694349119316,186.0,40.587012468578514,35000.0,411351.8,5539.314954486427,0,3370.0
1.0,wind,bus_103,wind_5738,33.01659015964737,-114.80574608363158,59.200840228390035,144.0,45.67545565294453,35000.0,185248.53,6033.371193415638,1,3370.0
3.0,wind,bus_103,wind_5759,34.534171708685186,-118.5260285992963,372.15750421433785,246.0,27.70681974270578,15000.0,579130.6,4889.942746873255,0,3370.0
3.0,wind,bus_103,wind_5762,34.534171708685186,-118.31473898107407,353.62373401833156,204.0,38.767218884089594,15000.0,378539.16,11720.692783303672,0,3370.0
1.0,wind,bus_103,wind_6124,33.11545320652105,-116.324347339,160.6501366667016,60.0,52.26981609860366,35000.0,376899.84,13854.580762104344,1,3370.0
2.0,wind,bus_103,wind_6862,35.173489048534485,-114.48490435742858,182.78262708154807,42.0,49.37766374099247,35000.0,362114.1,5022.801101628039,0,3370.0
2.0,wind,bus_103,wind_6864,35.173489048534485,-114.309647486,184.9758953934357,252.0,39.248624139220354,35000.0,454195.8,4487.393906682622,0,3370.0
2.0,wind,bus_103,wind_8004,35.216359122351726,-115.01067497171428,189.3473196719005,222.0,57.02361614208024,15000.0,347759.25,3906.8795749374895,0,3370.0
1.0,wind,bus_103,wind_8011,33.31317930026842,-115.63407404110526,92.82594375211504,228.0,17.733234099813693,15000.0,124354.65,5979.508496701373,1,3370.0
1.0,wind,bus_103,wind_8026,33.31317930026842,-113.701308807,93.31023469900666,126.0,33.18933618191138,35000.0,307217.75,13701.886610865902,1,3370.0
1.0,wind,bus_103,wind_8770,33.412042347142105,-113.9774181261579,65.75547555553548,276.0,40.85052500898017,35000.0,139822.95,4952.446145236453,1,3370.0
1.0,wind,bus_103,wind_8775,33.51090539401579,-116.0482380198421,127.75491194690544,108.0,31.262503103984557,15000.0,240732.22,5543.147302292982,1,3370.0
2.0,wind,bus_103,wind_9542,35.25922919616897,-113.43336312885715,222.62088131538383,228.0,40.26782429171251,15000.0,206109.4,3636.3574772151674,0,3370.0
1.0,wind,bus_103,wind_9546,33.609768440889475,-116.18629267942106,140.67308404258517,258.0,31.322704717256308,35000.0,228112.95,6730.409007429606,1,3370.0
1.0,wind,bus_103,wind_9926,33.609768440889475,-115.7721287006842,102.39123996528724,288.0,29.121414121724055,35000.0,177124.89,5342.027528675423,1,3370.0
3.0,wind,bus_103,wind_10314,34.96707779287037,-118.38516885381482,376.61233917451955,246.0,41.28737036872091,15000.0,469507.75,3910.4721550060904,0,3370.0
3.0,wind,bus_103,wind_11080,35.05365900970741,-117.82172987188889,335.0134558233527,240.0,29.83449048851381,15000.0,473568.0,3140.1317006028785,0,3370.0
3.0,wind,bus_103,wind_11451,35.05365900970741,-117.39915063544444,302.1110079160077,216.0,31.922420034212657,35000.0,286184.66,5037.468664619892,0,3370.0
3.0,wind,bus_103,wind_11462,35.14024022654445,-118.59645847203703,402.11029769337665,72.0,30.90716157998361,15000.0,421182.88,4246.732688971792,0,3370.0
2.0,wind,bus_103,wind_12200,35.47357956525517,-115.44881715028572,226.8589307341461,282.0,35.868914710440556,35000.0,368521.7,3513.425303677313,0,3370.0
3.0,wind,bus_103,wind_12222,35.22682144338148,-118.80774809025925,423.5838580863965,180.0,7.294763642570183,15000.0,448000.2,4639.573607492375,0,3370.0
2.0,wind,bus_103,wind_13347,35.602189786706894,-115.36118871457143,238.2057059825794,240.0,31.74171522120349,35000.0,271069.88,4934.397613384755,0,3370.0
2.0,wind,bus_103,wind_13355,35.602189786706894,-114.66016122885715,229.65912875729316,258.0,46.71920613088312,35000.0,318633.25,4238.3168759567225,0,3370.0
2.0,wind,bus_103,wind_13719,35.602189786706894,-113.696248436,246.3657806607231,270.0,49.6009464184887,15000.0,369154.3,5210.298750561249,0,3370.0
2.0,wind,bus_103,wind_13723,35.602189786706894,-113.34573469314286,259.71026728231675,282.0,46.93785294623239,35000.0,342503.72,4586.018234119997,0,3370.0
2.0,wind,bus_103,wind_14115,35.645059860524135,-113.60862000028573,253.76885386718513,102.0,44.604152879739,35000.0,319696.4,5301.523045267489,0,3370.0
1.0,solar,bus_103,solar_1180,33.609768440889475,-113.9774181261579,64.71150465885891,119.51,20.66093307534744,35000.0,415575.4,10881.386489607035,1,540.0
1.0,solar,bus_103,solar_1938,33.70863148776316,-115.91018336026316,116.37220749711152,413.56,21.006451738438415,35000.0,136194.78,5589.921430933224,1,540.0
1.0,solar,bus_103,solar_2696,33.70863148776316,-114.5296367644737,23.12577905699618,975.34,20.23556579392014,15000.0,326046.84,5842.262500000001,1,540.0
3.0,solar,bus_103,solar_3481,35.31340266021852,-117.54001038092592,329.062629299328,235.46,20.98557988500825,15000.0,1450488.9,9015.091456745968,0,540.0
3.0,solar,bus_103,solar_3865,35.399983877055554,-117.89215974462962,360.7299768641691,555.68,20.956046218629005,15000.0,748010.2,8326.904253604604,0,540.0
1.0,solar,bus_103,solar_4974,33.90635758151053,-114.39158210489474,48.510543154164985,725.49,20.566563256377396,15000.0,151662.47,5015.97306034038,1,540.0
3.0,solar,bus_103,solar_5002,35.57314631072963,-117.75129999914815,361.72897157703295,321.51,20.805657171461945,15000.0,610527.6,14019.768686868687,0,540.0
2.0,solar,bus_103,solar_6866,35.773670081975865,-113.082849386,287.99815076550993,1975.87,20.3644778352278,15000.0,163287.61,3303.7093581362155,0,540.0
2.0,solar,bus_103,solar_6870,35.816540155793106,-115.27356027885715,259.4210414831761,511.49,20.3885561933549,15000.0,191078.33,4340.889018140537,0,540.0
1.0,solar,bus_103,solar_6877,34.20294672213158,-114.39158210489474,78.4141094089378,243.36,20.323107440582152,35000.0,248843.27,14732.03952695499,1,540.0
1.0,solar,bus_103,solar_7637,34.40067281587895,-116.0482380198421,159.2808735748882,115.64,20.97164538263398,15000.0,329703.16,8637.77394621809,1,540.0
1.0,solar,bus_103,solar_8402,34.59839890962632,-116.18629267942106,182.83530726714883,800.57,20.779362880359272,35000.0,309062.75,5348.813514564577,1,540.0
1.0,solar,bus_103,solar_8406,34.59839890962632,-115.63407404110526,147.6899488270896,381.67,20.52282248996236,35000.0,307217.75,13701.886610865902,1,540.0
3.0,solar,bus_103,solar_8422,36.00605239491482,-118.878177963,472.25193715525614,1534.09,18.4643785313685,15000.0,147581.83,4738.016111105843,0,540.0
1.0,solar,bus_103,solar_8772,34.59839890962632,-115.21991006236843,128.43457361563364,1262.43,20.827260532201606,15000.0,285082.16,4698.472227915261,1,540.0
3.0,solar,bus_103,solar_8801,36.00605239491482,-118.0330194901111,411.91714265484507,1920.94,21.38626932296118,15000.0,166064.89,3150.371663040237,0,540.0
1.0,solar,bus_103,solar_9164,34.6972619565,-115.91018336026316,172.26291627881096,1370.69,20.80076673898595,15000.0,228099.69,4582.887685702328,1,540.0
3.0,solar,bus_103,solar_9554,36.09263361175185,-118.73731821751852,467.47715019505665,2675.24,19.246807189138497,35000.0,439531.4,4826.783703703703,0,540.0
2.0,solar,bus_103,solar_10302,35.94515037724483,-113.95913374314286,275.56331911290107,774.09,20.206921077184717,35000.0,88726.28,5257.520563974944,0,540.0
3.0,solar,bus_103,solar_11083,36.26579604542593,-118.1738792355926,440.5710705595264,562.63,21.704051587967797,15000.0,407670.75,4334.185178850601,0,540.0
2.0,solar,bus_103,solar_11821,36.07376059869655,-115.36118871457143,289.05535281516575,1895.69,20.33245961018209,35000.0,267489.94,4568.217359904856,0,540.0
3.0,solar,bus_103,solar_11837,36.35237726226296,-118.5260285992963,470.5760050417139,3199.82,21.280843517492393,35000.0,657265.94,3555.5323979640634,0,540.0
